ID;isbn;title;description
1;3764170255;Narnia;"The Chronicles of Narnia is a series of seven fantasy novels by British author C. S. Lewis. Illustrated by Pauline Baynes and originally published between 1950 and 1956, The Chronicles of Narnia has been adapted for radio, television, the stage, film and computer games. The series is set in the fictional realm of Narnia, a fantasy world of magic, mythical beasts and talking animals."
2;9783608939842;The Lord of the Rings;"The Lord of the Rings is an epic high fantasy novel[a] by the English author and scholar J. R. R. Tolkien. Set in Middle-earth, the world at some distant time in the past, the story began as a sequel to Tolkien's 1937 children's book The Hobbit, but eventually developed into a much larger work. Written in stages between 1937 and 1949, The Lord of the Rings is one of the best-selling books ever written, with over 150 million copies sold."
